17923341236035832531 864898297438254725 14029198778813130531 8386185257520243685 2408178867444316631 16979016588503708351 7455977894472916851 2976114624652348403 9516902091815109437 774427376593033600 15831712924720186140 4387115725328711600 
10941517609687703223 2546591432971733970 7388326277816953115 681007438200624016 10251292310320503347 15209649166137355808 11531562419235996246 12027680516597844786 14314116494302938555 10653388597309436336 5179447263706763099 7056919879148340948 
16939131331022019732 12725373626488806477 7545403589584252353 14437435348332908328 10185509713906543966 102042858267249283 5949703307920585977 16438131491544363177 5997377283504133062 10514184919505435778 9085952467834776629 17615053069280296433 
7932474978631891292 9452032700717384280 8049968500143521620 18134939952169522219 746925108014391142 2341041879475963866 4672175221369099129 115443240523321262 7383370341969633949 18089445232850181151 116713863989860228 2659053204172513700 
11316416398424427120 9721828671373343678 17997443016768977176 4274026150869715373 5246936536285959605 1386710362546829190 14159783460796681634 2432478726805543480 14964156531980083562 1019514099571888914 10040090988996029769 16793150464060687191 
11947551696810051935 6832064441290304927 15248475091804727309 12989930385059898963 16761244029411710053 9802932280593729900 2420292976478834230 11618462662289250789 13049520193665107270 16905312949511155389 3241943215862769183 4105032569306185353 
3741840478662379751 7456772779683472873 6083121124530598930 7254075347610011670 12664864732714986664 1911794865822711424 12546865148714259819 18217276399081255684 18167003302351222964 5989361686751619585 12198102499859905623 10815338010922489374 
16888168240020440020 5117892059707562410 16478151126592367622 1904605683360566461 7008091043917362273 4561787311602529881 10160300992066803174 1572515740551058603 17971713230202883222 7843175123279289058 13546897440989090485 4868877989483763616 
13174469737154921765 1391834403213177794 12750011689228687037 2945043227832881174 16761205331310346368 5726641493877673379 6125001822925106126 17056217352181527407 1628322472975296088 12281831148658178439 17604975102186390519 9269413218837537316 
17954819224318897669 6538114671410541497 5948473406461603517 12581093494970553124 6891792304620879192 14858597921848796642 14102076540656777019 4850780211939670886 6443348406849696208 5462791884677566721 3827655551639960367 2763621616739908846 
17593077143318120066 7476284882109147183 2830098064927314927 10621220882765078802 4074556852679361060 6423601238367429841 4360420184267198752 15713406574905203735 10272908254642393587 13229184076965441137 2491475496850056991 12029052639961567465 
6370334813402489047 2577765743356157105 15394133002449178110 16979982569418478994 2999959893591110870 17764192632887152233 7739694276883790511 7504165269450224018 6528792827601065265 18048982833651415235 18328240680459270958 8857325211054003349 
3605943962383542519 14662912490575102936 8651054948021740596 10489083958270114271 15830698666295326239 13884262062820721723 13512189906428159948 12255054625084177 6523776629932268349 5223418026242987962 13359882891782779354 7143400462063819688 
